1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,A,B,C,D,E,F,G,H,I,J,K
Academic Year,County Code,District Code,School Code,County Name,District Name,School Name,District Type,School Type,"Educational 
Option Type","NSLP 
Provision 
Status","Charter 
School 
(Y/N)","Charter 
School 
Number","Charter 
Funding 
Type",IRC,Low Grade,High Grade,"Enrollment 
(K-12)","Free Meal 
Count 
(K-12)","Percent (%) 
Eligible Free 
(K-12)","FRPM Count 
(K-12)","Percent (%) 
Eligible FRPM 
(K-12)","Enrollment 
(Ages 5-17)","Free Meal 
Count 
(Ages 5-17)","Percent (%) 
Eligible Free 
(Ages 5-17)","FRPM Count 
(Ages 5-17)","Percent (%) 
Eligible FRPM 
(Ages 5-17)","2013-14 
CALPADS Fall 1 
Certification Status"
2014-2015,1,10017,109835,Alameda,Alameda County Office of Education,FAME Public Charter,County Office of Education (COE),K-12 Schools (Public),Traditional,,Y,728,Directly funded,Y,K,12,"1,087",565,52.00%,715,65.80%,"1,070",553,51.70%,702,65.60%,Y
2014-2015,1,10017,112607,Alameda,Alameda County Office of Education,Envision Academy for Arts & Technology,County Office of Education (COE),High Schools (Public),Traditional,,Y,811,Directly funded,Y,9,12,395,186,47.10%,186,47.10%,376,182,48.40%,182,48.40%,Y
2014-2015,1,10017,118489,Alameda,Alameda County Office of Education,Aspire California College Preparatory Academy,County Office of Education (COE),High Schools (Public),Traditional,,Y,1049,Directly funded,Y,9,12,244,134,54.90%,175,71.70%,230,128,55.70%,168,73.00%,Y
2014-2015,1,10017,123968,Alameda,Alameda County Office of Education,Community School for Creative Education,County Office of Education (COE),Elementary Schools (Public),Traditional,Breakfast Provision 2                             ,Y,1284,Directly funded,Y,K,8,191,113,59.20%,139,72.80%,190,113,59.50%,139,73.20%,Y
2014-2015,1,10017,124172,Alameda,Alameda County Office of Education,Yu Ming Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1296,Directly funded,Y,K,8,257,14,5.40%,21,8.20%,257,14,5.40%,21,8.20%,Y
2014-2015,1,10017,125567,Alameda,Alameda County Office of Education,Urban Montessori Charter,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,1383,Directly funded,Y,K,8,279,81,29.00%,101,36.20%,273,78,28.60%,98,35.90%,Y
2014-2015,1,10017,130401,Alameda,Alameda County Office of Education,Alameda County Juvenile Hall/Court,County Office of Education (COE),Juvenile Court Schools,Juvenile Court School,,N,,,N,K,12,181,71,39.20%,73,40.30%,160,66,41.30%,68,42.50%,Y
2014-2015,1,10017,130419,Alameda,Alameda County Office of Education,Alameda County Community,County Office of Education (COE),County Community,County Community School,,N,,,N,K,12,277,190,68.60%,223,80.50%,221,145,65.60%,172,77.80%,Y
2014-2015,1,10017,6001788,Alameda,Alameda County Office of Education,Cox Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,,Y,740,Directly funded,Y,K,5,597,493,82.60%,557,93.30%,586,483,82.40%,546,93.20%,Y
2014-2015,1,10017,6002000,Alameda,Alameda County Office of Education,Lazear Charter Academy,County Office of Education (COE),Elementary Schools (Public),Traditional,Provision 2                                       ,Y,1464,Directly funded,Y,K,8,437,336,76.90%,400,91.50%,437,336,76.90%,400,91.50%,Y
2014-2015,1,31609,131755,Alameda,California School for the Blind (State Special Schl),California School for the Blind,State Special Schools,State Special Schools,State Special School,,N,,,N,1,Adult,60,59,98.30%,59,98.30%,40,39,97.50%,39,97.50%,Y
2014-2015,1,31617,131763,Alameda,California School for the Deaf-Fremont (State Special Schl),California School for the Deaf-Fremont,State Special Schools,State Special Schools,State Special School,Provision 2                                       ,N,,,N,P,12,410,403,98.30%,403,98.30%,335,330,98.50%,330,98.50%,Y
2014-2015,1,61119,1,Alameda,Alameda Unified,"Nonpublic, Nonsectarian Schools",Unified School District,N/A,N/A,,N/A,N/A,N/A,N/A,,,29,1,3.40%,1,3.40%,27,1,3.70%,1,3.70%,Y
2014-2015,1,61119,106401,Alameda,Alameda Unified,Alameda Science and Technology Institute,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,9,12,170,39,22.90%,52,30.60%,167,38,22.80%,50,29.90%,Y
2014-2015,1,61119,111765,Alameda,Alameda Unified,Ruby Bridges Elementary,Unified School District,Elementary Schools (Public),Traditional,,N,,,N,K,5,588,322,54.80%,398,67.70%,588,322,54.80%,398,67.70%,Y
2014-2015,1,61119,119222,Alameda,Alameda Unified,Nea Community Learning Center,Unified School District,K-12 Schools (Public),Traditional,,Y,1066,Directly funded,Y,K,12,476,117,24.60%,147,30.90%,470,115,24.50%,145,30.90%,Y
2014-2015,1,61119,122085,Alameda,Alameda Unified,The Academy of Alameda,Unified School District,Intermediate/Middle Schools (Public),Traditional,,Y,1181,Directly funded,N,6,8,508,160,31.50%,193,38.00%,508,160,31.50%,193,38.00%,Y
2014-2015,1,61119,126656,Alameda,Alameda Unified,Maya Lin,Unified School District,Alternative Schools of Choice,Alternative School of Choice,,N,,,N,K,8,321,114,35.50%,134,41.70%,312,111,35.60%,131,42.00%,Y
2014-2015,1,61119,128199,Alameda,Alameda Unified,Encinal Junior Jets,Unified School District,Intermediate/Middle Schools (Public),Traditional,,N,,,N,6,8,229,103,45.00%,128,55.90%,229,103,45.00%,128,55.90%,Y
